Table QS802EW																					
2011 Census: Age of arrival in UK, local authorities in England and Wales																					
																					
England and Wales																					
Constituent Countries; Regions, counties, London boroughs, unitary																					
authorities and districts in England; unitary authorities in Wales																					
																					
All usual residents 																					
																					
																					
Area code	Area name			All categories: Age of arrival in the UK	Born in the UK	Age of arrival in the UK: 0 to 4	Age of arrival in the UK: 5 to 7	Age of arrival in the UK: 8 to 9	Age of arrival in the UK: 10 to 14	Age of arrival in the UK: 15	Age of arrival in the UK: 16 to 17	Age of arrival in the UK: 18 to 19	Age of arrival in the UK: 20 to 24	Age of arrival in the UK: 25 to 29	Age of arrival in the UK: 30 to 44	Age of arrival in the UK: 45 to 59	Age of arrival in the UK: 60 to 64	Age of arrival in the UK: 65 to 74	Age of arrival in the UK: 75 to 84	Age of arrival in the UK: 85 to 89	Age of arrival in the UK: 90 and over
				Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons	Persons
				Number	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage	Percentage
																					
K04000001	ENGLAND AND WALES			56,075,912	86.6	1.7	0.6	0.4	0.9	0.2	0.6	1.0	2.8	2.3	2.3	0.5	0.1	0.1	0.0	0.0	0.0
																					
E92000001	ENGLAND			53,012,456	86.2	1.7	0.6	0.4	1.0	0.2	0.6	1.0	2.9	2.3	2.4	0.5	0.1	0.1	0.0	0.0	0.0
																					
E12000001	NORTH EAST			2,596,886	95.0	0.9	0.2	0.1	0.3	0.1	0.2	0.4	1.0	0.8	0.8	0.1	0.0	0.0	0.0	0.0	0.0
	 																				
E06000047		County Durham UA		513,242	96.8	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E06000005		Darlington UA		105,564	94.8	1.2	0.3	0.2	0.4	0.1	0.2	0.3	0.8	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E06000001		Hartlepool UA		92,028	97.2	0.6	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E06000002		Middlesbrough UA		138,412	91.8	1.1	0.4	0.2	0.5	0.1	0.4	0.7	1.9	1.3	1.4	0.2	0.0	0.0	0.0	0.0	0.0
E06000048		Northumberland UA		316,028	97.2	0.8	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E06000003		Redcar and Cleveland UA		135,177	97.8	0.7	0.1	0.1	0.2	0.0	0.1	0.1	0.3	0.2	0.3	0.1	0.0	0.0	0.0	0.0	0.0
E06000004		Stockton-on-Tees UA		191,610	95.4	1.0	0.3	0.1	0.3	0.1	0.2	0.3	0.8	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
																					
E11000004		Tyne and Wear (Met County)		1,104,825	93.5	1.0	0.3	0.2	0.4	0.1	0.3	0.5	1.4	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000020			Gateshead	200,214	95.1	0.8	0.2	0.1	0.3	0.1	0.2	0.3	1.0	0.9	0.8	0.1	0.0	0.0	0.0	0.0	0.0
E08000021			Newcastle upon Tyne	280,177	86.6	1.6	0.6	0.4	0.8	0.2	0.7	1.1	3.3	2.1	2.2	0.3	0.0	0.0	0.0	0.0	0.0
E08000022			North Tyneside	200,801	96.0	0.8	0.2	0.1	0.3	0.1	0.1	0.2	0.6	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E08000023			South Tyneside	148,127	96.6	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E08000024			Sunderland	275,506	95.9	0.7	0.2	0.1	0.2	0.1	0.2	0.3	0.9	0.6	0.6	0.1	0.0	0.0	0.0	0.0	0.0
																					
E12000002	NORTH WEST 			7,052,177	91.8	1.2	0.4	0.2	0.6	0.1	0.4	0.6	1.7	1.3	1.3	0.3	0.0	0.0	0.0	0.0	0.0
																					
E06000008		Blackburn with Darwen UA		147,489	85.2	1.6	0.6	0.5	1.2	0.3	1.0	1.5	3.5	2.2	1.9	0.4	0.0	0.1	0.0	0.0	0.0
E06000009		Blackpool UA		142,065	94.6	1.0	0.3	0.2	0.3	0.1	0.2	0.3	1.0	0.9	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E06000049		Cheshire East UA		370,127	94.5	1.1	0.3	0.2	0.3	0.1	0.2	0.3	0.9	0.8	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E06000050		Cheshire West and Chester UA		329,608	95.1	1.0	0.3	0.1	0.3	0.1	0.2	0.3	0.9	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E06000006		Halton UA		125,746	97.3	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.3	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E06000007		Warrington UA		202,228	94.3	1.0	0.3	0.2	0.3	0.1	0.2	0.3	1.1	1.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0
																					
E10000006		Cumbria 		499,858	96.3	0.8	0.2	0.1	0.2	0.1	0.1	0.2	0.6	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000026			Allerdale	96,422	97.3	0.6	0.2	0.1	0.2	0.0	0.1	0.1	0.5	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E07000027			Barrow-in-Furness	69,087	97.1	0.7	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000028			Carlisle	107,524	95.1	1.0	0.2	0.1	0.3	0.1	0.2	0.3	0.9	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000029			Copeland	70,603	97.1	0.7	0.2	0.1	0.2	0.1	0.1	0.1	0.4	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E07000030			Eden	52,564	96.6	0.9	0.2	0.1	0.1	0.0	0.1	0.2	0.6	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000031			South Lakeland	103,658	95.2	1.0	0.2	0.1	0.3	0.1	0.2	0.2	0.9	0.7	0.7	0.2	0.0	0.0	0.0	0.0	0.0
																					
E11000001		Greater Manchester (Met County)		2,682,528	88.0	1.5	0.6	0.4	0.9	0.2	0.6	1.0	2.5	1.9	2.0	0.4	0.0	0.0	0.0	0.0	0.0
E08000001			Bolton	276,786	88.7	1.4	0.6	0.4	1.0	0.2	0.6	1.0	2.3	1.6	1.7	0.3	0.0	0.1	0.0	0.0	0.0
E08000002			Bury	185,060	91.3	1.4	0.5	0.3	0.7	0.2	0.4	0.6	1.7	1.3	1.4	0.3	0.0	0.0	0.0	0.0	0.0
E08000003			Manchester	503,127	74.7	2.7	1.2	0.7	1.7	0.5	1.4	2.2	5.4	4.2	4.4	0.8	0.1	0.1	0.0	0.0	0.0
E08000004			Oldham 	224,897	88.2	1.6	0.7	0.4	1.1	0.2	0.6	1.1	2.5	1.6	1.6	0.3	0.0	0.1	0.0	0.0	0.0
E08000005			Rochdale	211,699	88.9	1.5	0.6	0.4	1.0	0.2	0.5	0.9	2.3	1.6	1.7	0.3	0.0	0.0	0.0	0.0	0.0
E08000006			Salford	233,933	88.3	1.4	0.5	0.3	0.7	0.2	0.5	0.9	2.6	2.1	2.0	0.4	0.0	0.0	0.0	0.0	0.0
E08000007			Stockport	283,275	93.2	1.1	0.4	0.2	0.5	0.1	0.3	0.5	1.3	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000008			Tameside	219,324	93.0	1.1	0.4	0.3	0.6	0.1	0.3	0.5	1.3	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000009			Trafford	226,578	88.8	1.6	0.6	0.3	0.8	0.2	0.5	0.8	2.1	1.8	1.9	0.3	0.0	0.1	0.0	0.0	0.0
E08000010			Wigan	317,849	96.5	0.6	0.2	0.1	0.2	0.1	0.1	0.2	0.6	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
																					
E10000017		Lancashire 		1,171,339	93.5	1.1	0.3	0.2	0.5	0.1	0.3	0.6	1.4	0.9	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E07000117			Burnley	87,059	92.3	1.2	0.4	0.3	0.6	0.1	0.4	0.6	1.5	1.1	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E07000118			Chorley	107,155	96.3	0.8	0.2	0.1	0.3	0.1	0.2	0.2	0.6	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000119			Fylde	75,757	95.0	1.2	0.3	0.1	0.4	0.1	0.2	0.3	0.8	0.7	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E07000120			Hyndburn	80,734	92.8	1.1	0.3	0.2	0.5	0.1	0.3	0.7	1.6	1.0	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E07000121			Lancaster	138,375	92.7	1.2	0.3	0.2	0.5	0.1	0.5	0.8	1.4	0.9	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E07000122			Pendle	89,452	89.1	1.5	0.5	0.3	0.9	0.2	0.6	1.1	2.5	1.5	1.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000123			Preston	140,202	86.6	1.5	0.6	0.4	0.9	0.3	0.7	1.3	3.4	2.0	1.8	0.4	0.0	0.0	0.0	0.0	0.0
E07000124			Ribble Valley	57,132	96.4	0.8	0.2	0.1	0.4	0.1	0.2	0.2	0.6	0.5	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E07000125			Rossendale	67,982	95.4	0.9	0.3	0.2	0.4	0.1	0.2	0.3	0.8	0.6	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E07000126			South Ribble	109,057	96.2	0.9	0.2	0.1	0.3	0.1	0.1	0.2	0.7	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000127			West Lancashire	110,685	96.1	0.7	0.2	0.1	0.2	0.0	0.1	0.3	0.8	0.5	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000128			Wyre	107,749	96.7	0.7	0.2	0.1	0.3	0.1	0.3	0.2	0.5	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
																					
E11000002		Merseyside (Met County)		1,381,189	94.3	0.9	0.3	0.2	0.3	0.1	0.3	0.4	1.2	0.9	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E08000011			Knowsley 	145,893	97.7	0.5	0.1	0.1	0.1	0.0	0.1	0.1	0.4	0.3	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E08000012			Liverpool	466,415	90.1	1.1	0.4	0.2	0.6	0.2	0.5	0.9	2.3	1.7	1.7	0.3	0.0	0.0	0.0	0.0	0.0
E08000014			Sefton	273,790	95.8	0.8	0.2	0.1	0.3	0.1	0.2	0.3	0.8	0.6	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E08000013			St. Helens	175,308	97.3	0.6	0.1	0.1	0.2	0.0	0.1	0.2	0.5	0.4	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E08000015			Wirral	319,783	96.0	0.9	0.2	0.1	0.3	0.0	0.2	0.2	0.6	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
																					
E12000003	YORKSHIRE AND THE HUMBER			5,283,733	91.2	1.3	0.4	0.3	0.6	0.2	0.4	0.7	1.8	1.3	1.4	0.3	0.0	0.0	0.0	0.0	0.0
																					
E06000011		East Riding of Yorkshire UA		334,179	96.1	0.9	0.2	0.1	0.2	0.0	0.1	0.2	0.6	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E06000010		Kingston upon Hull, City of UA		256,406	91.5	1.0	0.3	0.2	0.5	0.1	0.4	0.6	2.0	1.5	1.5	0.3	0.0	0.0	0.0	0.0	0.0
E06000012		North East Lincolnshire UA		159,616	95.6	0.9	0.2	0.1	0.3	0.1	0.2	0.3	0.8	0.6	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E06000013		North Lincolnshire UA		167,446	93.5	1.1	0.3	0.2	0.4	0.1	0.3	0.4	1.3	1.0	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E06000014		York UA		198,051	90.8	1.5	0.4	0.2	0.6	0.1	0.4	0.8	2.1	1.4	1.4	0.2	0.0	0.0	0.0	0.0	0.0
																					
E10000023		North Yorkshire 		598,376	94.1	1.4	0.3	0.2	0.4	0.1	0.2	0.3	0.9	0.8	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E07000163			Craven	55,409	95.9	0.9	0.3	0.1	0.3	0.1	0.2	0.2	0.7	0.6	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000164			Hambleton	89,140	95.5	1.5	0.3	0.2	0.3	0.1	0.1	0.2	0.6	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E07000165			Harrogate	157,869	91.2	1.8	0.5	0.3	0.6	0.1	0.3	0.4	1.3	1.2	1.7	0.4	0.1	0.0	0.0	0.0	0.0
E07000166			Richmondshire	51,965	91.6	2.4	0.5	0.3	0.6	0.1	0.2	0.6	1.4	1.0	0.9	0.2	0.1	0.1	0.0	0.0	0.0
E07000167			Ryedale	51,751	95.8	0.9	0.2	0.2	0.4	0.1	0.2	0.2	0.6	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000168			Scarborough	108,793	95.1	1.1	0.3	0.2	0.3	0.1	0.2	0.3	0.8	0.6	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000169			Selby	83,449	95.8	0.9	0.2	0.2	0.3	0.1	0.1	0.2	0.8	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
																					
E11000003		South Yorkshire (Met County)		1,343,601	92.2	1.1	0.4	0.2	0.6	0.1	0.4	0.6	1.6	1.2	1.2	0.2	0.0	0.0	0.0	0.0	0.0
E08000016			Barnsley	231,221	96.6	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.6	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E08000017			Doncaster	302,402	93.8	1.0	0.3	0.2	0.4	0.1	0.3	0.4	1.3	1.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E08000018			Rotherham 	257,280	94.9	0.8	0.3	0.2	0.4	0.1	0.2	0.4	0.9	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E08000019			Sheffield	552,698	88.3	1.5	0.6	0.4	0.9	0.2	0.6	1.0	2.6	1.8	1.8	0.3	0.0	0.1	0.0	0.0	0.0
																					
E11000006		West Yorkshire (Met County)		2,226,058	88.6	1.5	0.5	0.4	0.9	0.2	0.6	1.0	2.5	1.7	1.7	0.3	0.0	0.0	0.0	0.0	0.0
E08000032			Bradford	522,452	82.8	2.1	0.8	0.6	1.4	0.3	0.9	1.7	3.9	2.5	2.4	0.5	0.1	0.1	0.0	0.0	0.0
E08000033			Calderdale	203,826	92.5	1.2	0.4	0.2	0.6	0.1	0.4	0.6	1.6	1.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E08000034			Kirklees 	422,458	89.2	1.4	0.5	0.4	0.9	0.2	0.6	1.0	2.5	1.5	1.4	0.3	0.0	0.1	0.0	0.0	0.0
E08000035			Leeds	751,485	88.5	1.5	0.5	0.3	0.8	0.2	0.6	0.9	2.4	1.9	1.8	0.3	0.0	0.0	0.0	0.0	0.0
E08000036			Wakefield	325,837	94.6	0.8	0.2	0.2	0.3	0.1	0.2	0.3	1.1	0.9	0.9	0.2	0.0	0.0	0.0	0.0	0.0
																					
E12000004	EAST MIDLANDS			4,533,222	90.1	1.4	0.5	0.3	0.7	0.2	0.5	0.7	2.0	1.4	1.6	0.4	0.0	0.0	0.0	0.0	0.0
																					
E06000015		Derby UA		248,752	86.1	1.6	0.7	0.5	1.2	0.3	0.7	1.1	3.0	2.1	2.3	0.5	0.1	0.1	0.0	0.0	0.0
E06000016		Leicester UA		329,839	66.4	3.0	1.6	1.1	2.9	0.7	1.8	2.7	7.0	4.9	5.8	1.6	0.2	0.2	0.0	0.0	0.0
E06000018		Nottingham UA		305,680	80.5	1.9	0.8	0.6	1.4	0.4	1.2	1.9	4.4	3.1	3.1	0.6	0.0	0.1	0.0	0.0	0.0
E06000017		Rutland UA		37,369	93.6	1.7	0.4	0.2	0.7	0.1	0.3	0.3	0.9	0.7	0.7	0.2	0.1	0.0	0.0	0.0	0.0
																					
E10000007		Derbyshire 		769,686	96.7	0.7	0.2	0.1	0.2	0.1	0.1	0.2	0.5	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000032			Amber Valley	122,309	97.0	0.7	0.2	0.1	0.2	0.0	0.1	0.2	0.5	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000033			Bolsover	75,866	97.0	0.6	0.1	0.1	0.2	0.0	0.1	0.2	0.5	0.4	0.5	0.2	0.0	0.0	0.0	0.0	0.0
E07000034			Chesterfield	103,788	96.2	0.7	0.2	0.1	0.3	0.0	0.2	0.2	0.6	0.6	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E07000035			Derbyshire Dales	71,116	96.7	0.9	0.2	0.1	0.3	0.0	0.1	0.2	0.5	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000036			Erewash	112,081	96.4	0.8	0.2	0.1	0.3	0.1	0.2	0.2	0.6	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000037			High Peak	90,892	96.4	0.8	0.2	0.1	0.3	0.1	0.2	0.2	0.6	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000038			North East Derbyshire	99,023	97.6	0.6	0.2	0.1	0.2	0.0	0.1	0.1	0.4	0.3	0.4	0.1	0.0	0.0	0.0	0.0	0.0
E07000039			South Derbyshire	94,611	96.1	0.9	0.3	0.1	0.3	0.1	0.2	0.2	0.7	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
																					
E10000018		Leicestershire 		650,489	92.8	1.2	0.4	0.3	0.6	0.2	0.4	0.6	1.4	0.9	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E07000129			Blaby	93,915	93.4	1.0	0.4	0.2	0.6	0.1	0.3	0.5	1.3	0.9	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000130			Charnwood	166,100	89.6	1.5	0.6	0.3	0.9	0.3	0.7	1.0	2.2	1.3	1.4	0.3	0.0	0.0	0.0	0.0	0.0
E07000131			Harborough	85,382	94.6	1.2	0.3	0.2	0.5	0.1	0.3	0.3	0.9	0.6	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000132			Hinckley and Bosworth	105,078	95.9	0.9	0.3	0.1	0.3	0.1	0.2	0.3	0.7	0.6	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E07000133			Melton	50,376	94.9	1.2	0.3	0.1	0.4	0.1	0.2	0.3	1.0	0.6	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000134			North West Leicestershire	93,468	96.1	0.9	0.2	0.1	0.3	0.1	0.1	0.2	0.7	0.5	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E07000135			Oadby and Wigston	56,170	84.9	2.0	1.0	0.7	1.7	0.4	0.9	1.3	2.7	1.8	2.1	0.4	0.1	0.1	0.0	0.0	0.0
																					
E10000019		Lincolnshire		713,653	92.9	1.4	0.3	0.2	0.4	0.1	0.3	0.4	1.3	1.0	1.2	0.4	0.0	0.0	0.0	0.0	0.0
E07000136			Boston	64,637	84.9	1.6	0.5	0.3	0.7	0.2	0.5	1.0	3.3	2.4	3.4	1.1	0.0	0.0	0.0	0.0	0.0
E07000137			East Lindsey	136,401	96.3	0.9	0.2	0.1	0.3	0.1	0.1	0.2	0.6	0.4	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000138			Lincoln	93,541	90.2	1.8	0.4	0.2	0.6	0.1	0.4	0.6	2.0	1.4	1.6	0.5	0.0	0.0	0.0	0.0	0.0
E07000139			North Kesteven	107,766	94.8	1.8	0.3	0.2	0.3	0.1	0.2	0.2	0.7	0.5	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000140			South Holland	88,270	90.4	1.2	0.4	0.2	0.5	0.1	0.3	0.7	2.2	1.5	1.8	0.6	0.0	0.0	0.0	0.0	0.0
E07000141			South Kesteven	133,788	93.2	1.6	0.4	0.2	0.4	0.1	0.2	0.4	1.1	0.9	1.2	0.3	0.0	0.0	0.0	0.0	0.0
E07000142			West Lindsey	89,250	95.9	1.2	0.3	0.1	0.3	0.0	0.1	0.2	0.5	0.4	0.6	0.1	0.0	0.0	0.0	0.0	0.0
																					
E10000021		Northamptonshire		691,952	89.2	1.6	0.5	0.3	0.7	0.2	0.5	0.7	2.2	1.7	1.9	0.4	0.0	0.0	0.0	0.0	0.0
E07000150			Corby	61,255	86.9	1.7	0.6	0.3	0.8	0.1	0.4	0.9	3.1	2.2	2.4	0.5	0.0	0.0	0.0	0.0	0.0
E07000151			Daventry	77,843	94.0	1.3	0.4	0.2	0.4	0.1	0.2	0.4	1.1	0.8	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E07000152			East Northamptonshire	86,765	93.9	1.2	0.4	0.2	0.5	0.1	0.3	0.4	0.9	0.8	1.0	0.3	0.0	0.0	0.0	0.0	0.0
E07000153			Kettering	93,475	91.5	1.4	0.4	0.2	0.5	0.1	0.3	0.5	1.6	1.4	1.5	0.3	0.0	0.0	0.0	0.0	0.0
