Table QS802EW																					
E07000154			Northampton	212,069	83.7	2.0	0.7	0.4	1.1	0.3	0.8	1.2	3.5	2.8	2.8	0.7	0.1	0.0	0.0	0.0	0.0
E07000155			South Northamptonshire	85,189	94.2	1.4	0.3	0.2	0.4	0.1	0.2	0.4	0.9	0.7	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E07000156			Wellingborough	75,356	87.6	1.6	0.6	0.4	0.9	0.2	0.6	0.9	2.6	1.9	2.1	0.5	0.0	0.0	0.0	0.0	0.0
																					
E10000024		Nottinghamshire 		785,802	94.6	1.0	0.3	0.2	0.4	0.1	0.2	0.4	1.1	0.8	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000170			Ashfield	119,497	97.0	0.6	0.2	0.1	0.2	0.0	0.1	0.2	0.6	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000171			Bassetlaw	112,863	95.3	0.9	0.2	0.1	0.3	0.1	0.1	0.2	0.8	0.7	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000172			Broxtowe	109,487	92.3	1.3	0.3	0.2	0.5	0.1	0.3	0.6	1.5	1.3	1.3	0.2	0.0	0.0	0.0	0.0	0.0
E07000173			Gedling	113,543	94.4	1.0	0.3	0.2	0.4	0.1	0.3	0.4	1.2	0.8	0.8	0.1	0.0	0.0	0.0	0.0	0.0
E07000174			Mansfield	104,466	94.4	0.9	0.3	0.1	0.3	0.1	0.2	0.4	1.3	0.8	0.9	0.3	0.0	0.0	0.0	0.0	0.0
E07000175			Newark and Sherwood	114,817	95.1	1.0	0.3	0.2	0.3	0.1	0.2	0.3	0.9	0.7	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000176			Rushcliffe	111,129	93.5	1.3	0.4	0.2	0.5	0.1	0.3	0.4	1.1	0.9	1.0	0.1	0.0	0.0	0.0	0.0	0.0
																					
E12000005	WEST MIDLANDS			5,601,847	88.8	1.4	0.6	0.4	0.9	0.2	0.6	0.9	2.4	1.7	1.7	0.3	0.0	0.0	0.0	0.0	0.0
																					
E06000019		Herefordshire, County of UA		183,477	93.3	1.2	0.3	0.2	0.4	0.1	0.2	0.4	1.3	1.1	1.1	0.3	0.0	0.0	0.0	0.0	0.0
E06000051		Shropshire UA		306,129	95.3	1.1	0.3	0.2	0.4	0.1	0.2	0.3	0.7	0.6	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E06000021		Stoke-on-Trent UA		249,008	91.7	1.0	0.4	0.2	0.6	0.1	0.4	0.6	1.9	1.4	1.3	0.2	0.0	0.0	0.0	0.0	0.0
E06000020		Telford and Wrekin UA		166,641	92.7	1.3	0.4	0.2	0.5	0.1	0.3	0.4	1.5	1.1	1.1	0.2	0.0	0.0	0.0	0.0	0.0
																					
E10000028		Staffordshire 		848,489	95.5	0.8	0.2	0.1	0.3	0.1	0.2	0.3	0.9	0.7	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E07000192			Cannock Chase	97,462	97.5	0.6	0.1	0.1	0.2	0.1	0.1	0.2	0.5	0.3	0.4	0.0	0.0	0.0	0.0	0.0	0.0
E07000193			East Staffordshire	113,583	91.3	1.2	0.4	0.2	0.6	0.2	0.3	0.7	2.0	1.5	1.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000194			Lichfield	100,654	96.2	0.8	0.2	0.1	0.3	0.1	0.2	0.2	0.7	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000195			Newcastle-under-Lyme	123,871	95.0	0.8	0.3	0.1	0.4	0.1	0.3	0.5	1.0	0.7	0.7	0.1	0.0	0.0	0.0	0.0	0.0
E07000196			South Staffordshire	108,131	97.2	0.6	0.2	0.1	0.3	0.0	0.1	0.2	0.5	0.4	0.3	0.1	0.0	0.0	0.0	0.0	0.0
E07000197			Stafford	130,869	93.9	1.2	0.3	0.2	0.4	0.1	0.2	0.4	1.2	0.9	0.9	0.2	0.0	0.0	0.0	0.0	0.0
E07000198			Staffordshire Moorlands	97,106	97.7	0.6	0.1	0.1	0.1	0.0	0.1	0.1	0.4	0.3	0.3	0.1	0.0	0.0	0.0	0.0	0.0
E07000199			Tamworth	76,813	96.3	0.7	0.2	0.1	0.3	0.1	0.2	0.2	0.8	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
																					
E10000031		Warwickshire		545,474	91.7	1.3	0.4	0.3	0.6	0.1	0.4	0.7	1.7	1.3	1.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000218			North Warwickshire	62,014	97.1	0.6	0.2	0.1	0.2	0.1	0.2	0.2	0.5	0.4	0.4	0.0	0.0	0.0	0.0	0.0	0.0
E07000219			Nuneaton and Bedworth	125,252	93.2	1.0	0.3	0.2	0.6	0.1	0.3	0.5	1.4	1.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E07000220			Rugby	100,075	88.3	1.6	0.5	0.4	0.8	0.2	0.5	0.9	2.5	1.9	2.0	0.4	0.1	0.1	0.0	0.0	0.0
E07000221			Stratford-on-Avon	120,485	93.8	1.3	0.3	0.2	0.4	0.1	0.2	0.5	1.1	0.9	1.0	0.3	0.0	0.0	0.0	0.0	0.0
E07000222			Warwick	137,648	88.4	1.6	0.5	0.3	0.8	0.2	0.7	1.1	2.4	1.8	1.7	0.3	0.0	0.0	0.0	0.0	0.0
																					
E11000005		West Midlands (Met County)		2,736,460	83.4	1.8	0.9	0.6	1.5	0.4	0.9	1.5	3.6	2.5	2.5	0.5	0.1	0.1	0.0	0.0	0.0
E08000025			Birmingham	1,073,045	77.8	2.5	1.2	0.8	2.0	0.5	1.2	1.9	4.7	3.2	3.3	0.6	0.1	0.1	0.0	0.0	0.0
E08000026			Coventry	316,960	78.8	2.1	0.9	0.6	1.5	0.4	1.3	2.2	5.0	3.4	3.1	0.5	0.1	0.1	0.0	0.0	0.0
E08000027			Dudley 	312,925	94.7	0.7	0.3	0.2	0.5	0.1	0.3	0.4	1.1	0.8	0.8	0.1	0.0	0.0	0.0	0.0	0.0
E08000028			Sandwell 	308,063	84.1	1.6	0.7	0.5	1.5	0.4	0.8	1.3	3.4	2.4	2.5	0.6	0.1	0.1	0.0	0.0	0.0
E08000029			Solihull	206,674	92.6	1.2	0.5	0.3	0.6	0.2	0.4	0.5	1.3	1.1	1.1	0.2	0.0	0.0	0.0	0.0	0.0
E08000030			Walsall	269,323	90.1	1.2	0.5	0.4	0.9	0.2	0.5	0.9	2.1	1.5	1.4	0.3	0.0	0.1	0.0	0.0	0.0
E08000031			Wolverhampton	249,470	83.6	1.3	0.8	0.6	1.5	0.4	0.9	1.5	3.8	2.6	2.5	0.5	0.1	0.1	0.0	0.0	0.0
																					
E10000034		Worcestershire 		566,169	94.2	1.0	0.3	0.2	0.4	0.1	0.3	0.4	1.2	0.9	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000234			Bromsgrove	93,637	96.0	0.8	0.2	0.1	0.4	0.1	0.3	0.3	0.6	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000235			Malvern Hills	74,631	95.0	1.1	0.3	0.1	0.6	0.2	0.4	0.2	0.7	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000236			Redditch	84,214	92.0	1.1	0.3	0.2	0.5	0.1	0.3	0.6	1.9	1.4	1.1	0.3	0.0	0.0	0.0	0.0	0.0
E07000237			Worcester	98,768	91.8	1.3	0.4	0.2	0.5	0.1	0.3	0.7	1.8	1.3	1.2	0.2	0.0	0.0	0.0	0.0	0.0
E07000238			Wychavon	116,944	94.4	1.0	0.3	0.2	0.3	0.1	0.2	0.4	1.2	0.9	0.8	0.2	0.0	0.0	0.0	0.0	0.0
E07000239			Wyre Forest	97,975	96.1	0.8	0.2	0.1	0.3	0.1	0.2	0.3	0.7	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
																					
E12000006	EAST			5,846,965	89.0	1.6	0.5	0.3	0.7	0.2	0.5	0.8	2.2	1.8	1.9	0.4	0.0	0.0	0.0	0.0	0.0
																					
E06000055		Bedford UA		157,479	82.4	2.2	0.9	0.6	1.5	0.3	0.8	1.3	3.6	2.8	2.8	0.6	0.1	0.1	0.0	0.0	0.0
E06000056		Central Bedfordshire UA		254,381	92.1	1.4	0.4	0.2	0.6	0.1	0.3	0.5	1.6	1.2	1.3	0.2	0.0	0.0	0.0	0.0	0.0
E06000032		Luton UA		203,201	69.1	3.0	1.3	0.9	2.4	0.6	1.5	2.8	7.6	5.1	4.7	0.9	0.1	0.1	0.0	0.0	0.0
E06000031		Peterborough UA		183,631	79.4	2.6	0.9	0.6	1.4	0.3	0.8	1.5	4.3	3.3	3.6	1.0	0.1	0.1	0.0	0.0	0.0
E06000033		Southend-on-Sea UA		173,658	90.1	1.4	0.5	0.3	0.7	0.2	0.4	0.6	1.8	1.6	1.9	0.4	0.0	0.0	0.0	0.0	0.0
E06000034		Thurrock UA		157,705	88.0	1.3	0.5	0.3	0.8	0.2	0.5	0.7	2.6	2.3	2.3	0.3	0.0	0.0	0.0	0.0	0.0
																					
E10000003		Cambridgeshire 		621,210	86.2	2.0	0.6	0.3	0.7	0.2	0.6	0.9	2.7	2.5	2.7	0.5	0.0	0.0	0.0	0.0	0.0
E07000008			Cambridge	123,867	70.6	2.8	0.9	0.5	1.4	0.4	1.7	2.6	6.5	6.0	5.5	0.8	0.1	0.1	0.0	0.0	0.0
E07000009			East Cambridgeshire	83,818	90.2	1.7	0.5	0.3	0.6	0.1	0.3	0.5	1.7	1.7	2.0	0.4	0.0	0.1	0.0	0.0	0.0
E07000010			Fenland	95,262	91.4	1.2	0.4	0.2	0.5	0.1	0.3	0.6	1.8	1.3	1.7	0.5	0.0	0.0	0.0	0.0	0.0
E07000011			Huntingdonshire	169,508	90.4	1.9	0.5	0.3	0.6	0.1	0.3	0.5	1.7	1.5	1.8	0.4	0.0	0.0	0.0	0.0	0.0
E07000012			South Cambridgeshire	148,755	88.9	2.0	0.6	0.3	0.6	0.1	0.4	0.5	1.9	2.0	2.3	0.4	0.0	0.0	0.0	0.0	0.0
																					
E10000012		Essex 		1,393,587	92.8	1.2	0.4	0.2	0.5	0.1	0.3	0.5	1.4	1.1	1.2	0.2	0.0	0.0	0.0	0.0	0.0
E07000066			Basildon	174,497	92.8	1.1	0.3	0.2	0.5	0.1	0.3	0.4	1.4	1.3	1.4	0.2	0.0	0.0	0.0	0.0	0.0
E07000067			Braintree	147,084	94.1	1.0	0.3	0.2	0.4	0.1	0.2	0.4	1.2	0.9	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E07000068			Brentwood	73,601	91.7	1.4	0.4	0.2	0.5	0.1	0.3	0.5	1.5	1.4	1.5	0.3	0.0	0.0	0.0	0.0	0.0
E07000069			Castle Point	88,011	96.4	0.8	0.2	0.1	0.3	0.1	0.2	0.3	0.6	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000070			Chelmsford	168,310	92.4	1.2	0.4	0.2	0.5	0.1	0.3	0.5	1.6	1.2	1.3	0.2	0.0	0.0	0.0	0.0	0.0
E07000071			Colchester	173,074	88.8	1.8	0.5	0.3	0.7	0.1	0.6	1.1	2.3	1.6	1.7	0.3	0.0	0.0	0.0	0.0	0.0
E07000072			Epping Forest	124,659	90.9	1.3	0.4	0.3	0.6	0.2	0.5	0.6	2.0	1.5	1.4	0.2	0.0	0.0	0.0	0.0	0.0
E07000073			Harlow	81,944	88.4	1.4	0.5	0.3	0.7	0.2	0.5	0.7	2.4	2.1	2.3	0.4	0.0	0.0	0.0	0.0	0.0
E07000074			Maldon	61,629	96.1	0.9	0.3	0.1	0.2	0.1	0.2	0.2	0.7	0.5	0.6	0.1	0.0	0.0	0.0	0.0	0.0
E07000075			Rochford	83,287	96.4	0.8	0.2	0.1	0.3	0.1	0.2	0.3	0.6	0.5	0.5	0.1	0.0	0.0	0.0	0.0	0.0
E07000076			Tendring	138,048	95.7	0.9	0.2	0.2	0.3	0.1	0.2	0.3	0.7	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000077			Uttlesford	79,443	92.7	1.6	0.4	0.2	0.5	0.1	0.3	0.4	1.2	1.0	1.3	0.3	0.0	0.0	0.0	0.0	0.0
																					
E10000015		Hertfordshire		1,116,062	86.6	1.8	0.6	0.4	0.9	0.2	0.6	1.0	2.9	2.3	2.2	0.4	0.0	0.0	0.0	0.0	0.0
E07000095			Broxbourne	93,609	88.2	1.5	0.6	0.4	0.9	0.2	0.6	1.0	2.7	1.8	1.8	0.3	0.0	0.0	0.0	0.0	0.0
E07000096			Dacorum	144,847	89.4	1.7	0.6	0.3	0.7	0.2	0.4	0.7	2.0	1.8	1.8	0.3	0.0	0.0	0.0	0.0	0.0
E07000097			East Hertfordshire	137,687	92.0	1.3	0.4	0.2	0.5	0.1	0.4	0.5	1.6	1.3	1.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000098			Hertsmere	100,031	83.0	1.9	0.8	0.5	1.3	0.3	0.9	1.2	3.6	2.8	3.0	0.6	0.1	0.1	0.0	0.0	0.0
E07000099			North Hertfordshire	127,114	89.8	1.6	0.5	0.3	0.7	0.2	0.5	0.7	2.0	1.7	1.6	0.3	0.0	0.1	0.0	0.0	0.0
E07000100			St Albans	140,664	86.5	2.0	0.7	0.4	0.8	0.2	0.5	1.0	2.8	2.3	2.4	0.4	0.0	0.0	0.0	0.0	0.0
E07000101			Stevenage	83,957	88.2	1.5	0.5	0.3	0.8	0.2	0.5	0.8	2.4	2.2	2.1	0.4	0.0	0.1	0.0	0.0	0.0
E07000102			Three Rivers	87,317	86.1	1.9	0.7	0.5	1.1	0.3	0.7	1.0	2.7	2.1	2.2	0.5	0.1	0.1	0.0	0.0	0.0
E07000103			Watford	90,301	75.3	2.7	1.1	0.7	1.7	0.4	1.1	1.8	5.4	4.6	4.3	0.7	0.1	0.1	0.0	0.0	0.0
E07000104			Welwyn Hatfield	110,535	82.8	1.8	0.7	0.4	1.1	0.3	0.9	1.6	4.4	2.9	2.5	0.4	0.1	0.0	0.0	0.0	0.0
																					
E10000020		Norfolk		857,888	92.8	1.3	0.4	0.2	0.5	0.1	0.3	0.5	1.3	1.0	1.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000143			Breckland	130,491	91.3	1.6	0.4	0.2	0.5	0.1	0.3	0.5	1.5	1.1	1.7	0.5	0.0	0.0	0.0	0.0	0.0
E07000144			Broadland	124,646	95.8	1.0	0.3	0.1	0.3	0.1	0.1	0.2	0.6	0.5	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000145			Great Yarmouth	97,277	93.5	1.0	0.3	0.2	0.6	0.1	0.2	0.4	1.1	0.9	1.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000146			Kingâ€™s Lynn and West Norfolk	147,451	92.3	1.3	0.4	0.2	0.5	0.1	0.2	0.5	1.5	1.0	1.5	0.4	0.0	0.0	0.0	0.0	0.0
E07000147			North Norfolk	101,499	95.9	1.0	0.3	0.1	0.3	0.1	0.2	0.2	0.7	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
E07000148			Norwich	132,512	87.1	1.8	0.5	0.3	0.7	0.1	0.6	1.2	2.8	2.2	2.3	0.3	0.0	0.0	0.0	0.0	0.0
E07000149			South Norfolk	124,012	95.1	1.2	0.3	0.2	0.3	0.1	0.2	0.2	0.8	0.7	0.7	0.2	0.0	0.0	0.0	0.0	0.0
																					
E10000029		Suffolk		728,163	91.8	1.5	0.4	0.3	0.5	0.1	0.3	0.5	1.5	1.3	1.5	0.4	0.0	0.0	0.0	0.0	0.0
E07000200			Babergh	87,740	95.0	1.2	0.3	0.2	0.4	0.1	0.2	0.3	0.8	0.6	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000201			Forest Heath	59,748	77.0	3.0	1.0	0.6	1.2	0.2	0.4	1.3	4.9	4.1	5.0	1.1	0.1	0.1	0.0	0.0	0.0
E07000202			Ipswich	133,384	88.2	1.6	0.6	0.4	0.8	0.2	0.5	0.8	2.3	2.0	2.2	0.5	0.0	0.0	0.0	0.0	0.0
E07000203			Mid Suffolk	96,731	95.3	1.3	0.3	0.2	0.3	0.1	0.2	0.2	0.7	0.5	0.7	0.2	0.0	0.0	0.0	0.0	0.0
E07000204			St Edmundsbury	111,008	91.5	1.5	0.4	0.3	0.6	0.1	0.3	0.5	1.5	1.3	1.5	0.3	0.0	0.0	0.0	0.0	0.0
E07000205			Suffolk Coastal	124,298	93.9	1.4	0.4	0.2	0.5	0.1	0.2	0.3	0.9	0.8	1.0	0.2	0.0	0.0	0.0	0.0	0.0
E07000206			Waveney	115,254	96.2	0.8	0.2	0.1	0.3	0.1	0.2	0.2	0.6	0.5	0.6	0.2	0.0	0.0	0.0	0.0	0.0
																					
E12000007	LONDON			8,173,941	63.3	3.2	1.4	1.0	2.5	0.6	1.6	2.5	8.1	7.1	6.9	1.3	0.2	0.2	0.0	0.0	0.0
																					
E13000001		Inner London		3,231,901	57.8	3.4	1.5	1.0	2.6	0.7	1.9	2.9	9.5	8.7	8.1	1.5	0.2	0.2	0.0	0.0	0.0
E09000007			Camden	220,338	57.5	3.7	1.4	0.8	2.2	0.6	2.1	3.3	8.9	8.8	8.5	1.6	0.2	0.2	0.1	0.0	0.0
E09000001			City of London	7,375	63.3	2.6	0.8	0.5	1.5	0.5	2.0	2.5	8.5	8.6	7.3	1.4	0.2	0.2	0.0	0.0	0.0
E09000012			Hackney	246,270	60.9	3.2	1.6	1.0	2.7	0.7	1.8	2.8	8.9	7.8	7.2	1.2	0.1	0.1	0.0	0.0	0.0
E09000013			Hammersmith and Fulham	182,493	57.2	3.6	1.4	0.9	2.3	0.6	1.7	2.5	9.6	9.7	8.6	1.5	0.2	0.2	0.0	0.0	0.0
E09000014			Haringey	254,926	55.4	3.7	1.7	1.1	2.8	0.7	2.0	3.1	10.2	8.8	8.7	1.4	0.2	0.2	0.0	0.0	0.0
E09000019			Islington	206,125	64.6	2.8	1.1	0.8	2.0	0.5	1.8	2.8	8.4	7.7	6.2	0.9	0.1	0.1	0.0	0.0	0.0
E09000020			Kensington and Chelsea	158,649	48.4	4.2	1.5	1.0	2.5	0.6	2.2	2.9	9.5	10.6	13.0	2.9	0.3	0.2	0.1	0.0	0.0
E09000022			Lambeth	303,086	61.1	3.1	1.4	1.0	2.6	0.7	1.6	2.5	9.1	8.1	7.2	1.2	0.1	0.1	0.0	0.0	0.0
E09000023			Lewisham	275,885	66.3	2.9	1.4	1.0	2.5	0.7	1.6	2.3	7.5	6.5	6.2	1.0	0.1	0.1	0.0	0.0	0.0
E09000025			Newham	307,984	46.3	4.2	2.1	1.4	3.7	0.9	2.2	3.8	13.0	10.3	9.9	1.9	0.2	0.2	0.1	0.0	0.0
E09000028			Southwark	288,283	60.6	2.9	1.3	0.9	2.5	0.7	1.8	2.7	9.1	8.3	7.7	1.3	0.2	0.2	0.0	0.0	0.0
E09000030			Tower Hamlets	254,096	56.9	3.8	1.7	1.1	2.9	0.7	2.1	3.6	10.1	8.9	6.8	1.1	0.2	0.2	0.0	0.0	0.0
E09000032			Wandsworth	306,995	64.6	3.2	1.2	0.8	1.9	0.4	1.2	2.0	8.6	8.2	6.4	1.1	0.1	0.1	0.0	0.0	0.0
E09000033			Westminster	219,396	46.7	3.8	1.6	1.1	2.7	0.7	2.4	3.4	10.5	11.4	12.0	2.9	0.4	0.3	0.1	0.0	0.0
																					
E13000002		Outer London		4,942,040	66.9	3.1	1.4	0.9	2.4	0.6	1.5	2.3	7.2	6.0	6.2	1.2	0.2	0.2	0.0	0.0	0.0
E09000002			Barking and Dagenham	185,911	69.1	3.2	1.4	0.9	2.2	0.6	1.3	1.9	6.4	5.7	6.2	1.0	0.1	0.1	0.0	0.0	0.0
E09000003			Barnet	356,386	61.1	3.6	1.6	1.0	2.6	0.6	1.8	2.7	8.4	6.9	7.6	1.5	0.2	0.2	0.1	0.0	0.0
E09000004			Bexley	231,997	85.9	1.6	0.7	0.4	1.1	0.3	0.7	1.0	2.8	2.3	2.6	0.4	0.1	0.1	0.0	0.0	0.0
E09000005			Brent	311,215	44.9	4.1	2.2	1.5	4.0	1.0	2.6	3.9	12.1	10.1	10.5	2.4	0.3	0.3	0.1	0.0	0.0
E09000006			Bromley	309,392	85.5	1.8	0.7	0.4	1.0	0.2	0.6	0.9	2.9	2.7	2.6	0.5	0.1	0.1	0.0	0.0	0.0
E09000008			Croydon	363,378	70.4	2.8	1.4	1.0	2.5	0.6	1.4	1.9	6.0	5.2	5.4	1.1	0.1	0.1	0.0	0.0	0.0
E09000009			Ealing	338,449	51.8	3.8	1.9	1.2	3.2	0.8	2.0	3.2	10.8	9.1	9.5	2.0	0.3	0.3	0.1	0.0	0.0
E09000010			Enfield	312,466	64.9	3.3	1.8	1.2	3.0	0.8	2.0	2.7	7.4	5.7	5.9	1.0	0.1	0.2	0.0	0.0	0.0
E09000011			Greenwich	254,557	69.0	2.8	1.2	0.8	2.1	0.5	1.4	2.1	6.5	6.1	6.1	1.1	0.2	0.2	0.0	0.0	0.0
E09000015			Harrow	239,056	55.2	4.0	2.0	1.4	3.6	0.9	2.4	3.2	9.1	7.2	8.2	2.1	0.4	0.4	0.1	0.0	0.0
E09000016			Havering	237,232	89.7	1.2	0.5	0.3	0.8	0.2	0.5	0.8	2.1	1.7	1.8	0.3	0.0	0.0	0.0	0.0	0.0
E09000017			Hillingdon	273,936	70.0	2.9	1.3	0.9	2.3	0.6	1.6	2.2	6.4	5.1	5.1	1.1	0.2	0.2	0.0	0.0	0.0
E09000018			Hounslow	253,957	56.7	3.7	1.6	1.1	2.8	0.7	1.8	2.7	10.0	8.5	8.2	1.7	0.2	0.3	0.1	0.0	0.0
E09000021			Kingston upon Thames	160,060	71.7	3.0	1.2	0.8	1.9	0.4	1.3	2.0	5.6	4.8	5.6	1.2	0.1	0.2	0.0	0.0	0.0
E09000024			Merton	199,693	62.2	3.1	1.3	0.9	2.2	0.5	1.3	2.3	9.1	8.0	7.3	1.4	0.2	0.2	0.0	0.0	0.0
E09000026			Redbridge	278,970	63.1	3.9	1.8	1.1	2.8	0.6	1.7	2.7	8.2	6.5	6.1	1.1	0.2	0.2	0.0	0.0	0.0
E09000027			Richmond upon Thames	186,990	75.7	3.2	1.1	0.6	1.3	0.3	0.8	1.3	4.5	4.5	5.4	1.0	0.1	0.1	0.0	0.0	0.0
E09000029			Sutton	190,146	80.1	2.0	0.9	0.5	1.3	0.3	0.9	1.3	4.2	3.7	3.9	0.7	0.1	0.1	0.0	0.0	0.0
E09000031			Waltham Forest	258,249	61.4	3.1	1.6	1.0	2.7	0.7	1.8	2.9	9.5	7.3	6.6	1.2	0.1	0.1	0.0	0.0	0.0
																					
E12000008	SOUTH EAST			8,634,750	87.9	1.9	0.6	0.4	0.8	0.2	0.5	0.8	2.3	1.9	2.1	0.5	0.1	0.1	0.0	0.0	0.0
																					
